Symbol,Order Date,Transaction Date,Type,Cancel Reason,Amount,Price
BRLS,6/6/25 1:10p ET,,Sell,"User Initiated","11,078","N/A"
BRLS,6/6/25 1:02p ET,6/6/25 1:09p ET,Buy,"","11,078","$6.99"
MODV,6/5/25 2:48p ET,6/5/25 2:48p ET,Buy,"","18,836","$4.02"
SGMT,6/4/25 1:43p ET,6/4/25 1:43p ET,Sell,"","18,634","$4.05"
NEGG,6/4/25 1:19p ET,6/4/25 1:21p ET,Buy,"","121","$6.29"
FERG,6/4/25 1:15p ET,6/4/25 1:15p ET,Buy,"","50","$214.60"
MLTX,6/4/25 1:14p ET,6/4/25 1:14p ET,Buy,"","200","$52.10"
CRWV,6/4/25 1:11p ET,6/4/25 1:11p ET,Buy,"","50","$156.62"
NUE,6/4/25 1:09p ET,6/4/25 1:10p ET,Buy,"","25","$121.33"
CFRHF,6/4/25 1:04p ET,6/5/25 10:38a ET,Sell,"","81","$188.91"
SGMT,6/4/25 12:10p ET,6/4/25 12:10p ET,Buy,"","12,433","$4.57"
COIN,6/4/25 12:09p ET,6/4/25 12:09p ET,Sell,"","500","$256.49"
SGMT,6/4/25 12:06p ET,6/4/25 12:06p ET,Buy,"","6,201","$4.57"
CLNN,6/2/25 3:59p ET,6/3/25 9:30a ET,Buy,"","5,208","$4.50"
CFRHF,5/28/25 11:53p ET,5/30/25 10:29a ET,Buy,"","20","$190.61"
CFRHF,5/28/25 11:52p ET,,Buy,"User Initiated","50","N/A"
HURN,5/28/25 2:12p ET,5/28/25 2:12p ET,Buy,"","165","$138.68"
PONY,5/28/25 2:09p ET,5/28/25 2:09p ET,Buy,"","3,000","$18.36"
URBN,5/22/25 12:10p ET,5/22/25 12:10p ET,Buy,"","251","$72.50"
IONQ,5/22/25 12:09p ET,5/22/25 12:09p ET,Buy,"","493","$42.82"
SNOW,5/22/25 12:07p ET,5/22/25 12:07p ET,Buy,"","125","$199.15"
OKLO,5/22/25 12:06p ET,5/22/25 12:06p ET,Buy,"","802","$39.05"
GRAB,5/22/25 12:05p ET,5/22/25 12:05p ET,Buy,"","7,199","$5.06"
PTON,5/22/25 12:05p ET,5/22/25 12:05p ET,Buy,"","6,856","$7.11"
AAP,5/22/25 12:04p ET,5/22/25 12:04p ET,Buy,"","648","$48.87"
HIMS,5/22/25 12:03p ET,5/22/25 12:03p ET,Buy,"","1,232","$56.05"
RGTI,5/22/25 12:02p ET,5/22/25 12:02p ET,Buy,"","2,894","$12.95"
AAP,5/22/25 11:59a ET,5/22/25 11:59a ET,Buy,"","3,551","$48.70"
CFRHF,5/15/25 11:31p ET,5/19/25 10:14a ET,Buy,"","150","$199.07"
BYON,5/15/25 11:30p ET,5/16/25 9:30a ET,Buy,"","10,000","$6.18"
ALLO,5/15/25 11:28p ET,5/16/25 9:30a ET,Buy,"","20,000","$1.10"
OKUR,5/15/25 11:22p ET,5/16/25 9:30a ET,Buy,"","20,000","$2.10"
LHX,5/15/25 11:10p ET,5/16/25 9:30a ET,Sell,"","500","$228.57"
NKE,5/15/25 11:09p ET,5/16/25 9:30a ET,Sell,"","2,500","$62.68"
UNH,5/15/25 10:57p ET,5/16/25 9:30a ET,Sell,"","250","$279.29"
ABNB,5/14/25 7:08p ET,,Buy,"User Initiated","982","N/A"
ZION,5/13/25 10:18p ET,5/14/25 9:30a ET,Buy,"","100","$49.62"
UNH,5/13/25 5:19p ET,5/14/25 9:31a ET,Buy,"","317","$321.40"
UNH,5/13/25 3:58p ET,5/14/25 9:31a ET,Buy,"","200","$321.40"
SMCI,5/13/25 3:54p ET,5/13/25 3:54p ET,Buy,"","2,000","$39.06"
COIN,5/13/25 3:54p ET,5/13/25 3:54p ET,Buy,"","986","$258.49"
ORCL,5/13/25 12:56p ET,5/13/25 12:56p ET,Buy,"","50","$162.70"
TSLA,5/12/25 10:55p ET,5/13/25 9:30a ET,Buy,"","100","$319.97"
META,5/12/25 10:37p ET,5/13/25 9:30a ET,Buy,"","50","$645.33"
RGC,5/12/25 10:23p ET,5/13/25 9:30a ET,Buy,"","20","$515.11"
NRG,5/12/25 10:21p ET,5/13/25 9:30a ET,Buy,"","100","$149.73"
RIVN,5/12/25 10:20p ET,5/13/25 9:31a ET,Buy,"","100","$14.74"
F,5/12/25 10:19p ET,5/13/25 9:31a ET,Buy,"","100","$10.60"
AMZN,5/12/25 10:18p ET,,Buy,"User Initiated","100","N/A"
AAPL,5/12/25 10:18p ET,5/13/25 9:30a ET,Buy,"","100","$210.43"
AMZN,5/12/25 7:48p ET,5/13/25 9:30a ET,Buy,"","680","$211.08"
NKE,5/12/25 2:21p ET,5/12/25 2:21p ET,Buy,"","5,000","$62.34"
NXTT,5/9/25 8:01p ET,5/12/25 9:32a ET,Buy,"","1,000","$4.01"
LCID,5/9/25 8:00p ET,5/12/25 9:32a ET,Buy,"","10,000","$2.61"
ACDVF,5/9/25 7:59p ET,5/12/25 9:45a ET,Buy,"","500","$12.80"
LHX,5/8/25 11:24p ET,5/9/25 9:30a ET,Buy,"","1,000","$219.69"
BTDR,5/8/25 11:22p ET,5/9/25 9:30a ET,Buy,"","5,000","$13.96"
AMD,5/8/25 11:20p ET,5/9/25 9:30a ET,Buy,"","50","$102.59"
PLTR,5/8/25 11:14p ET,5/9/25 9:30a ET,Buy,"","100","$119.11"
ABNB,5/8/25 11:07p ET,5/9/25 9:30a ET,Buy,"","50","$124.96"
QBTS,5/8/25 11:06p ET,5/9/25 9:30a ET,Buy,"","10,000","$9.86"
ACIW,5/8/25 11:04p ET,5/9/25 9:30a ET,Buy,"","1,000","$48.75"
SHEL,5/8/25 11:02p ET,5/9/25 9:30a ET,Buy,"","50","$65.90"
ACIW,5/8/25 11:00p ET,,Buy,"User Initiated","100","N/A"
NVDA,5/8/25 10:56p ET,5/9/25 9:30a ET,Buy,"","500","$117.35"
COST,5/8/25 10:53p ET,5/9/25 9:30a ET,Buy,"","1","$1,004.61"
WMT,5/8/25 10:52p ET,5/9/25 9:30a ET,Buy,"","1","$96.86"
